model_name,dataset_name,target_name,metric_name,metric_value
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,auroc,0.6044
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,precision,0.8
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,recall,0.2286
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,auprc,0.8171
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,log_loss,0.7252
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,acc,0.3958
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,f1,0.3935
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,TN,22.0
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,FP,4.0
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,FN,54.0
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,TP,16.0
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,class_true_count,70.0
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,class_false_count,26.0
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,specificity,0.8462
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,pred_true_count,20.0
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,nsamples,96.0
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,pred_prevalence,0.2083
baseline_clinical_BERT_1_epoch_512,pheno_first,any_acute,actual_prevalence,0.7292
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,auroc,0.4571
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,precision,0.5
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,recall,0.1
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,auprc,0.2823
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,log_loss,0.6196
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,acc,0.8077
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,f1,0.529
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,TN,41.0
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,FP,1.0
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,FN,9.0
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,TP,1.0
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,class_true_count,10.0
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,class_false_count,42.0
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,specificity,0.9762
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,pred_true_count,2.0
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,nsamples,52.0
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,pred_prevalence,0.0385
adv_clinical_BERT_1_epoch_512,inhosp_mort,inhosp_mort,actual_prevalence,0.1923
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,auroc,0.4167
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,precision,0.75
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,recall,0.0395
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,auprc,0.8192
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,log_loss,0.8041
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,acc,0.1868
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,f1,0.1748
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,TN,14.0
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,FP,1.0
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,FN,73.0
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,TP,3.0
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,class_true_count,76.0
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,class_false_count,15.0
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,specificity,0.9333
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,pred_true_count,4.0
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,nsamples,91.0
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,pred_prevalence,0.044
adv_clinical_BERT_1_epoch_512,pheno_all,any_acute,actual_prevalence,0.8352
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,auroc,0.4505
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,precision,0.3333
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,recall,0.0286
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,auprc,0.7082
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,log_loss,0.7612
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,acc,0.25
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,f1,0.216
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,TN,22.0
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,FP,4.0
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,FN,68.0
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,TP,2.0
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,class_true_count,70.0
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,class_false_count,26.0
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,specificity,0.8462
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,pred_true_count,6.0
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,nsamples,96.0
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,pred_prevalence,0.0625
adv_clinical_BERT_1_epoch_512,pheno_first,any_acute,actual_prevalence,0.7292
